[2025-08-07 12:12:30] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":100,"task_count":1} 
[2025-08-07 12:12:55] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":100,"task_count":1} 
[2025-08-07 12:13:09] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:15:41] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:15:58] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:16:09] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:16:13] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:16:40] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:16:41] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:17:33] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:17:34] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:19:18] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:19:19] production.INFO: Fetched user tasks {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"task_count":2} 
[2025-08-07 12:21:40] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":0,"page":1,"per_page":10,"status_filter":"all","sort_by":"created_at","total_tasks":2,"current_page_count":2} 
[2025-08-07 12:21:52] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":600,"page":1,"per_page":10,"status_filter":"all","sort_by":"created_at","total_tasks":2,"current_page_count":2} 
[2025-08-07 12:22:40] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":600,"page":1,"per_page":10,"status_filter":"all","sort_by":"created_at","total_tasks":2,"current_page_count":2} 
[2025-08-07 12:22:42] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":600,"page":1,"per_page":10,"status_filter":"all","sort_by":"created_at","total_tasks":2,"current_page_count":2} 
[2025-08-07 12:24:45] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":600,"page":1,"per_page":10,"status_filter":"all","sort_by":"created_at","total_tasks":2,"current_page_count":2} 
[2025-08-07 12:24:45] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":600,"page":1,"per_page":10,"status_filter":"all","sort_by":"created_at","total_tasks":2,"current_page_count":2} 
[2025-08-07 12:24:55] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":600,"page":"1","per_page":"2","status_filter":"all","sort_by":"created_at","total_tasks":2,"current_page_count":2} 
[2025-08-07 12:24:56] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":600,"page":"1","per_page":"2","status_filter":"all","sort_by":"created_at","total_tasks":2,"current_page_count":2} 
[2025-08-07 12:24:59] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":200,"page":"1","per_page":"2","status_filter":"all","sort_by":"created_at","total_tasks":3,"current_page_count":2} 
[2025-08-07 12:25:25] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":200,"page":"1","per_page":"2","status_filter":"all","sort_by":"created_at","total_tasks":3,"current_page_count":2} 
[2025-08-07 12:25:38] production.INFO: Fetched user tasks with pagination {"user_id":"d25d7013-277a-4699-9292-aed6896b7590","learn_rewards":200,"page":"1","per_page":"2","status_filter":"all","sort_by":"created_at","total_tasks":3,"current_page_count":2} 
